district_pt,Count
"PT220110,PTJCW1P7",694
PT220120,594
"PT220120,PTJCW2P1",124
"PT220130,PTJCW2P1",96
PT220140,402
"PT220140,PTJCW3P1",162
"PT220150,PTJCW3P1",176
"PT220160,PTJCW4P2",337
"PT220170,PTJCW4P2",49
PT220180,236
PT220190,37
"PT220200,PTJCW1P6",490
"PT220210,PTJCW1P6",423
PT220230,53
"PT2211,PT2212,PT2213,PT2214",613
PT22MD,507
PT23,661
PT230,291
PT23MD,1352
PT24,1558
PT240,75
PT2410,49
PT2420,154
PT2430,327
PT2440,439
PT24MD,1893
PT25,1176
PT25MD,1278
PT26,312
PT260060,985
PT260070,146
"PT2601,PT2602,PT2603,PT2604",124
PT26MD,412
PT27,146
PT27MD,169
PT28,463
PT28MD,19
PT29,116
PT29d,3
PT29MD,203
"PT2WDM,PT2WDW,PT2WRM,PT2WRW",521
PT3,1939
PT30,1098
PT300010,32
PT30MD,1661
PT31,427
"PT3111,PT3112,PT3113,PT3114",942
PT31MD,34
PT32,522
PT33,467
PT34,15
PT35,97
PT36,445
PT37,60
"PT3WDM,PT3WDW,PT3WRM,PT3WRW",372
PT4,1047
PT40,248
PT400020,178
"PT4111,PT4112,PT4113,PT4114",409
PT4a,4
PT4b,10
PT4c,7
PT5,971
PT50,289
PT500010,428
PT500020,1245
PT6,897
PT60,411
PT6a,2
PT7,354
PT70,850
PT8,872
PT80,990
"PT800150,PTJCW2P4",78
PT9,641
PT90,343
PT900020,4
PT900090,27
PT900120,336
PT900140,12
"PT900140,PTJCW2P6",378
PT900150,75
PT900180,151
"PT900180,PTJCW2P7",961
"PT900190,PTJCW4P1",577
"PT900210,PTJCW4P3",857
PT900230,146
PT900250,112
"PT900260,PTJCW2P5",520
PT900280,856
"PTALDM,PTALDW,PTALRM,PTALRW",101
"PTBBDM,PTBBDW,PTBBRM,PTBBRW",120
"PTBRDM,PTBRDW,PTBRRM,PTBRRW",54
"PTBVDM,PTBVDW,PTBVRM,PTBVRW",167
PTCAMD,317
PTCOM01,126
PTCOM02,561
PTCOM03,851
PTCOM04,1333
PTCOM05,1198
PTCOM06,737
PTCOM07,615
PTCOM08,451
PTCOM09,697
PTCOM10,1597
PTCOM11,617
PTCOM12,1018
PTCOM13,892
PTCOM14,2090
PTCOM15,788
PTCOM16,1310
PTCOM17,999
PTCOM18,428
PTCOM19,1371
PTCOM20,136
PTCOM21,227
PTCOM22,174
PTCOM23,200
PTCOM24,381
PTCOM25,262
PTCOM26,228
PTCOM27,274
PTCOM28,209
PTCOM29,364
PTCOM30,111
PTCOM31,195
PTCOM32,340
PTCOM33,296
PTCOM34,89
PTCOM35,497
PTCOM36,153
PTCOM37,936
PTCOM38,62
PTCOM39,68
PTCOM40,39
PTCOM41,96
"PTCRDM,PTCRDW,PTCRRM,PTCRRW",278
PTDAMD,93
PTECCMD,307
"PTECDM,PTECDW,PTECRM,PTECRW",84
PTECMD,457
PTEUMD,470
"PTFADM,PTFADW,PTFARM,PTFARW",41
PTFAMD,192
"PTFDDM,PTFDDW,PTFDRM,PTFDRW",123
"PTFRDM,PTFRDW,PTFRRM,PTFRRW",90
PTGLMD,74
PTGR2MD,17
PTGR3MD,5
PTGR4MD,4
"PTGRDM,PTGRDW,PTGRRM,PTGRRW",55
PTGRMD,611
PTGYMD,131
"PTJFDM,PTJFDW,PTJFRM,PTJFRW",88
"PTLBDM,PTLBDW,PTLBRM,PTLBRW",38
PTLIMD,131
"PTLNDM,PTLNDW,PTLNRM,PTLNRW",69
PTLP1,518
PTLP2,325
"PTNWDM,PTNWDW,PTNWRM,PTNWRW",105
PTOHAMD,222
PTOHMD,67
PTPVMD,271
"PTRCDM,PTRCDW,PTRCRM,PTRCRW",82
"PTRIDM,PTRIDW,PTRIRM,PTRIRW",156
PTSCAMD,75
"PTSCDM,PTSCDW,PTSCRM,PTSCRW",312
PTSCMD,203
PTSHAMD,4
PTSHBMD,36
PTSHDMD,149
PTSHEBMD,2
PTSHMD,2
PTSMMD,562
PTSOMD,262
PTSVMD,669
"PTUNDM,PTUNDW,PTUNRM,PTUNRW",21
"PTWADM,PTWADW,PTWARM,PTWARW",49
PTWLMD,428
"PTWRDM,PTWRDW,PTWRRM,PTWRRW",74
PTWSAMD,5
PTWSBMD,27
PTWSMD,82
