text_mail_city,Count
Fort Pierce,2
Fort Polk,1
Fort Riley,135
FORT RILEY,1
Fort Rucker,2
Fort Scott,480
Fort Sill,3
Fort Sill Ok,1
Fort Smith,3
Fort Stewart,4
Fort Wainwright,4
Fort Walton Beach,1
Fort Washington,1
Fort Wayne,3
Fort Worth,58
Fort Worth Tx,1
FortCollins,1
Forth Worth,2
Fountain,5
fowler,1
Fowler,410
Fowlerville,1
Foxborough,1
Fpo,2
FPO,12
Fpo Aa,1
Fpo Ap,1
FPO AP,1
"Fpo, Ae",1
"Fpo, Ap",2
France,1
Frankfort,37
Franklin,40
FRANKLIN,1
Franklin Spring,1
Fraser,1
Frederick,4
Fredericksburg,3
Fredericktown,1
Fredonia,145
Freeman,1
Freeport,12
Fremont,1
FREMONT,1
Fresno,2
Frisco,4
Front Royal,3
FRONT ROYAL,1
Frontenac,136
Ft Benning,2
ft collins,2
Ft Dodge,6
Ft Knox,1
Ft Lauderdale,2
Ft Leavenworth,15
Ft Lee,1
Ft Leonard Wood,4
Ft Liberty,1
Ft Meade,1
Ft Myers,2
ft riley,1
Ft Riley,2
Ft Scott,6
Ft Worth,1
Ft. Belvoir,1
Ft. Bragg,1
Ft. Jackson,1
Ft. Leavenworth,19
Ft. Riley,1
Ft. Smith,1
Ft. Wayne,1
Fulton,16
Fuquay-Varina,1
g,1
Gaffney,1
Gainesville,5
Gainsville,2
Gaithersburg,2
Galatia,1
Galeburg,1
Galena,266
Gales,1
Galesburg,76
Gallup,1
Galva,262
Galveston,2
Gamer,1
Gar,1
Gard City,1
Garde City,1
Garden,2
Garden City,1328
Garden CIty,2
GARDEN CITY,1
Garden City Kansas,2
Garden Plain,230
Gardena,1
Gardencity,1
Gardner,165
GARDNER,2
Gardner Ks,2
Garfield,60
GARFIELD,1
Garland,10
Garnett,185
Gas,144
Gas City,1
Gaylord,37
Gayville,1
Gem,23
Genda Springs,1
Geneseo,79
George West,1
Georgetown,8
Gereseo,1
Gering,1
Geuda Springs,40
Gibsonton,1
Gilbert,4
Gillette,2
Girad,1
Girard,147
Glade,1
Gladstone,9
Glan Elder,1
Glasco,115
Glen Burnie,2
Glen Dale,1
Glen Elder,73
GLEN ELDER,1
Glendale,11
GLENDALE,2
Glenpool,1
Glenside,2
Glenview,2
Glenwood,3
Gloucester,2
Goddard,454
Godfrey,1
Goesel,1
Goessel,313
Goff,50
Gold Canyon,1
Golden,12
Golden City,1
Golden Valley,2
Goldsboro,3
Goleta,1
Goodfellow Afb,1
Goodland,305
Goodwell,4
GOODWELL,1
Goodyear,1
Goose Creek,3
Gorham,290
Goshen,4
GOTHENBURG,1
Gottenburg,1
Gouverneur,1
Gove,70
Gove City,1
Graham,3
Grain,1
Grain Valley,6
GRAIN VALLEY,1
Grainfield,187
Grambling,1
Granbury,2
Granby,3
Grand Forks,7
Grand Forks Afb,1
Grand Forks AFB,3
Grand Island,2
GRAND ISLAND,1
GRAND JCT,1
Grand Junction,2
GRAND JUNCTION,1
Grand Lake,3
Grand Prairie,5
Grand Rapids,6
GRAND RAPIDS,1
Grand Ridge,1
Grandbury,1
Grandview,16
Grandview Plaza,2
Granger,1
GRANITE FALLS,1
Grantville,53
Granville,1
Gravois Mills,4
Grayslake,1
Grear Bend,1
Great Bend,395
GREAT BEND,2
Great Falls,4
GREAT FALLS,1
Great Lakes,6
Great Neck,1
Greeley,194
Green,55
Green Bay,2
Green Cove Spgs,1
Green Cove Springs,2
Green CV Spgs,1
Green Forest,1
Green Mtn FLS,1
Green Valley,4
"Green,",1
Greenbrier,2
Greencastle,1
Greenleaf,43
Greensboro,6
Greensburg,41
Greenville,7
GREENVILLE,1
Greenwich,2
Greenwood,4
GREENWOOD,1
Greer,1
Grenola,57
Gresham,2
Gretna,2
Gridley,98
Grinnell,236
Groton,6
Grove,9
GROVE,1
Grove City,3
Groveland,1
Groves,1
Grovetown,2
Gueda Springs,1
Gulf Breeze,2
Gulfport,3
GULFPORT,1
Gunnison,4
Gurnee,1
Guthrie,5
Guymon,3
GUYMON,1
Gypsum,164
Hacienda Heights,1
Haddam,22
Hagerstown,1
Haleiwa,1
Halethorpe,1
Hallandale Beach,1
Halstead,70
HALSTEAD,1
Hamilton,204
Hammond,1
Hampon,1
Hampstead,2
Hampton,14
Hamtilon,1
Hanford,4
Hannibal,3
Hanover,92
HANOVER,1
Hanscom Afb,1
Hanston,60
Happy Valley,2
Hardtner,138
Hardy,9
Harker Heights,5
Harker Hts,1
Harlingen,1
Harper,114
Harrah,2
Harrisburg,3
Harrison,1
Harrisonburg,6
harrisonville,1
Harrisonville,2
Harrisville,2
Hartford,77
Hartville,1
Harvest,1
Harvey,1
Harveyville,93
Haslet,1
Hasting,1
Hastings,7
Hattiesburg,1
Haughton,1
Havana,61
Havelock,2
Haven,252
Haven Ks,2
Havensville,27
Haviland,169
HaWARDEN,1
Hawthorne,1
HAWTHORNE,1
Hay,1
Hayden,2
Hayes,4
Hays,838
HAYS,2
Haysville,153
Hayward,1
Hazard,1
Hazelton,81
HAZELTON,1
Headland,1
Healy,106
Hebron,1
Heizer,1
Hempstead,1
Henderson,4
Hendersonville,1
Hephzibah,2
Hepler,50
Herington,221
HERLONG,1
Hermiston,1
Hermitage,1
Hernando,1
Herndon,119
Herriman,1
Herrington,1
Hesston,127
Hialeah,1
Hiawat,1
Hiawatha,101
Hichory,1
Hickory,1
Higginsville,1
High Point,1
Highland,181
Highland Park,1
Highlands Ranch,2
Hightstown,1
Highwood,1
Hill Afb,2
Hill AFB,1
Hill Cit,1
Hill City,444
Hilliard,1
Hillsboro,93
Hillsdale,6
Hillsville,1
Hilo,1
Hinesville,3
Hinton,1
Hobbs,1
Hoboken,4
Hoffman Estates,1
Hogoton,1
Hoisington,116
Hoisinton,1
Hoistington,1
Holcomb,552
HOLCOMB,1
Holden,2
Holdredge,1
Holdrege,1
HOLDREGE,1
Holland,1
Hollister,4
HoLLISTER,1
Holloman Afb,5
Holly,1
Holly Ridge,1
Hollywood,2
Holt,1
Holton,149
Holy Cross,1
Holyrood,151
Home,2
Homer Glen,1
Homestead,2
Homewood,1
Hominy,1
Hong Kong,1
Honolulu,15
Hood River,1
Hooker,1
Hookerton,1
Hope,141
HOPE,1
Hope Mills,1
Hopewell,1
Hopkins,1
Hopkinsville,2
Hopkinton,1
Hopland,1
Horace,15
Hordville,1
Horizon City,1
Hororn,1
Horton,80
Hot Springs,4
Hotchkiss,1
Houghton,1
Houma,1
houston,1
Houston,41
HOUSTON,1
Howard,219
Howell,1
Hoxie,1263
Hoyt,143
Huber Heights,2
Hubert,1
Huchinson,1
Hudson,34
Hugo,1
Hugoton,1203
Humboldr,1
Humboldt,75
Humbolt,1
Hume,1
Hunnewell,1
Hunter,45
Huntington,3
Huntingtown,2
Huntsville,3
Huntsvillle,1
Hurlburt Field,2
Huron,1
Hutchinson,737
HuTCHINSON,2
HUTCHINSON,2
Hutchinson Ks,2
Hutchison,1
Hyattsville,1
Hyde Park,3
Ichita,1
Idaho Falls,3
Immokalee,1
Imperial,1
Imperial Beach,2
Independce,1
Independence,401
Indian Head,1
Indianapolis,9
INDIANAPOLIS,2
Indianola,3
Ingalls,243
Ingalls Ks,1
Inglewood,2
Ingram,1
Inman,453
Inverness,1
Iola,491
IOLA,1
Iowa,2
Iowa City,14
Ireland,1
Irmo,4
Irons,1
IRONWOOD,1
Irvine,2
Irving,15
Isabel,91
Isle,1
Issaquah,1
Ithaca,7
Iuka,55
Ivins,1
Jackson,6
Jacksonville,49
JACKSONVILLE,2
Jacksonville Be,1
Jamaica,2
Jamaica Plain,3
Jamestown,69
Japan,1
JASPER,2
Jay,3
Jb Andrews,1
JB Andrews,4
Jb Mdl,1
JB MDL,2
Jbab,1
Jber,2
Jblm,2
JBLM,1
Jbphh,1
JBSA Ft. Sam Houston,1
Jbsa Lackland,2
Jean,1
Jefferson,2
Jefferson City,6
Jefferson Hills,1
Jeffersonville,1
Jenks,6
Jennings,138
Jersey City,3
Jetmore,239
Jetmroe,1
Jewell,129
Johns Island,1
Johnson,897
JOHNSON,3
Johnson City,9
Johnsonville,1
JOHNSTON,1
Johnstown,3
Joint Base Mdl,2
Joliet,1
Jonesboro,2
Jonesville,1
joplin,3
Joplin,89
JOPLIN,4
Joppa,1
Jordan,2
Junc City,1
Junct City,1
Junction,5
Junction City,487
JUNCTION CITY,1
Junction City Ks,1
Juncton City,1
Juniata,1
Junv City,1
Justin,1
Kailua,10
Kalaheo,1
Kalamazoo,4
Kaliua,1
Kalvesta,3
Kamas,1
KANAB,1
Kaneohe,4
Kaneohe Bay,1
Kanoehe,1
Kanopolis,164
Kanorado,54
Kansas,2
kansas city,4
Kansas city,4
Kansas City,1927
Kansas CIty,3
KANSAS CITY,12
Kansas City Kansas,1
Kansas Coty,1
Kapolei,6
Katy,6
Kaufman,1
Kaw City,1
Kcmo,1
Kearney,18
KEARNEY,2
Kechi,155
Keene,2
Keesler Afb,1
Keller,4
Kelly,1
Kemah,1
Kendall,99
Kenilworth,1
Kenmore,2
Kenner,1
Kennesaw,4
Kenosha,1
Kensington,117
Kent,4
Kerrville,1
Ketchum,2
Kew Gardens,1
Key Largo,1
Key West,1
Keyes,1
Ki,1
Kila,1
Kilauea,1
Kileen,1
Kilgore,1
Killeen,5
Kimberling City,4
Kimberling Cy,1
Kincaid,56
King of Prussia,1
kingman,1
Kingman,1081
KINGMAN,2
Kings Point,3
Kingsdown,5
Kingsland,2
KINGSPORT,1
Kingston,1
