text_res_city,Count
Manchester,56
Manhattan,39066
Mankato,864
Manter,162
Maple City,41
Maple Hill,1005
Mapleton,376
Marienthal,150
Marion,2295
Marquette,717
Marysville,2983
Matfield Green,99
Mayetta,1716
Mayfield,245
Mc Louth,1575
Mccracken,29
McCracken,187
Mccune,678
McCune,150
McDonald,247
Mcfarland,201
McFarland,1
Mclouth,645
McPherson,10567
Meade,1726
Medicine Ldg,1419
Melvern,559
Menlo,62
Mentor,61
Meriden,2576
Merriam,8518
Milan,105
Milford,1217
Milton,317
Miltonvale,433
Minneapolis,1750
Minneola,665
Mission,7788
Mission Hills,3172
Mission Woods,162
Modoc,52
Moline,407
Montezuma,623
Monument,123
Moran,724
Morganville,224
Morland,187
Morrill,307
Morrowville,187
Moscow,359
Mound City,1426
Mound Valley,547
Moundridge,1859
Mount Hope,1222
Mulberry,693
Mullinville,218
Mulvane,5836
Munden,141
Murdock,261
Muscotah,249
N. Montana Township,11
Narka,127
Nashville,175
Natoma,319
Navarre,23
Neal,42
Nekoma,41
Neodesha,1908
Neosho Falls,132
Neosho Rapids,314
Ness City,1086
Netawaka,256
New Albany,15
New Almelo,22
New Cambria,368
New Strawn,325
Newton,14258
Nickerson,986
Niotaze,168
Norcatur,185
North Newton,1376
Norton,2572
Nortonville,758
Norway,11
Norwich,639
Oak Hill,20
Oakley,1724
Oberlin,1552
Offerle,255
Ogallah,105
Ogden,970
Oketo,107
Olathe,104841
Olmitz,217
Olpe,826
Olsburg,498
Onaga,1110
Oneida,27
Opolis,83
Osage City,2816
Osawatomie,3773
Osborne,1122
Oskaloosa,1954
Oswego,1704
Otis,320
Ottawa,11753
Overbrook,2029
Overland Park,149956
Oxford,988
Ozawkie,1978
Palco,264
Palmer,220
Paola,9631
Paradise,81
Park,168
Park City,5829
Parker,779
Parkerfield,310
Parsons,8103
Partridge,334
Pawnee City,4
Pawnee Rock,347
Paxico,603
Peabody,1078
Peck,1051
Penalosa,11
Penokee,100
Perry,1838
Peru,237
Pfeifer,45
Phillipsburg,2412
Piedmont,124
Pierceville,141
Piqua,146
Pittsburg,17096
Plains,979
Plainville,1646
Pleasanton,1630
Plevna,225
Pomona,1562
Portis,167
Potter,46
Potwin,470
Powhattan,149
Prairie View,229
Prairie Village,19637
Pratt,4910
Prescott,361
Pretty Prairie,992
Princeton,717
Protection,421
Quenemo,626
Quinter,897
Radium,22
Rago,108
Ramona,126
Randall,109
Randolph,393
Ransom,306
Rantoul,610
Raymond,111
Reading,479
Redfield,404
Republic,145
Rexford,248
Richfield,108
Richmond,758
Riley,1011
Riverton,872
Robinson,361
Rock,188
Roeland Park,5503
Rolla,407
Rosalia,262
Rose Hill,5199
Rossville,1218
Roxbury,37
Rozel,153
Rush Center,196
Russell,3332
Russell Springs,49
Sabetha,2582
Salina,34479
Satanta,912
Savonburg,204
Sawyer,173
Scammon,548
Scandia,416
Schoenchen,149
Scott City,3456
Scranton,1053
Sedan,1168
Sedgwick,2352
Selden,332
Seneca,2504
Severance,97
Severy,415
Seward,53
Sharon,256
Sharon Springs,784
Shawnee,51861
Silver Lake,2076
Simpson,50
Smith Center,1555
Smolan,302
Soldier,373
Solomon,1234
South Haven,545
South Hutchinson,1844
Spearville,906
Spivey,151
Spring Hill,10187
St George,2418
St John,1180
St Marys,2919
St Paul,653
St. Benedict,28
St. Francis,1491
St. Marys,25
Stafford,852
Stark,137
Sterling,2096
Stilwell,4325
Stockton,1275
Strong City,499
Studley,5
Stuttgart,36
Sublette,1258
Summerfield,174
Sun City,51
Superior,26
Sycamore,51
Sylvan Grove,427
Sylvia,250
Syracuse,1175
Talmage,61
Tampa,181
Tecumseh,2723
Tescott,368
Thayer,829
Timken,121
Tipton,246
Tonganoxie,8546
Topeka,105255
Toronto,433
Towanda,2163
Trenton,2
Tribune,792
Troy,1311
Turon,517
Tyro,162
Udall,1336
Ulysses,3806
Uniontown,512
Utica,170
Valley Center,7296
Valley Falls,1698
Vassar,609
Vermillion,275
Victoria,1239
Viola,822
Virgil,112
Vliets,14
Wa Keeney,1594
Wakarusa,885
Wakeeney,26
Wakefield,1026
Waldo,83
Waldron,19
Walker,46
Wallace,196
Walnut,409
Walton,336
Wamego,6510
Washington,1030
Waterville,684
Wathena,1563
Waverly,927
Webber,89
Weir,928
Welda,251
Wellington,5923
Wells,60
Wellsville,3210
Weskan,222
West Mineral,130
Westfall,20
Westmoreland,1153
Westphalia,366
Westwood,1442
Westwood Hills,334
Wetmore,374
Wheaton,2
Wheeler,21
White City,673
White Cloud,289
Whitewater,1095
Whiting,281
Wichita,260111
Williamsburg,680
Willis,1
Wilmore,90
Wilsey,239
Wilson,709
Winchester,766
Windom,252
Winfield,8736
Winifred,13
Winona,219
Woodbine,179
Woodston,113
Wright,278
Wymore,2
Yates Center,1531
Zenda,135
Zuirch,1
Zurich,112
