polling_place_text_zip5,Count
66733,1194
66734,428
66736,2210
66738,657
66739,3348
66740,655
66742,1300
66743,3194
66746,352
66748,2018
66749,4610
66753,586
66754,854
66755,958
66757,1779
66762,16160
66763,2983
66767,364
66770,2120
66771,799
66773,1112
66775,267
66776,827
66777,383
66779,1799
66781,1166
66783,1869
66801,16441
66830,360
66833,349
66835,994
66839,2715
66840,253
66842,438
66845,1870
66846,2413
66849,443
66851,405
66852,667
66853,409
66854,522
66857,776
66858,531
66860,844
66861,2176
66864,732
66865,894
66866,949
66868,312
66871,781
66872,641
66901,3818
66933,263
66935,1779
66936,428
66937,568
66938,632
66939,526
66940,383
66944,226
66945,755
66948,251
66949,705
66951,621
66952,400
66953,613
66956,1104
66959,314
66966,487
66967,1523
66968,1393
67001,1457
67002,13727
67003,1896
67004,699
67005,8804
67008,374
67009,569
67010,9697
67013,2303
67016,849
67017,2279
67019,617
67020,1506
67022,995
67024,481
67025,2497
67026,3388
67029,655
67030,1787
67031,1701
67035,561
67037,21909
67038,403
67039,1686
67042,10445
67045,2660
67050,1583
67051,200
67052,5397
67053,1027
67054,710
67056,1835
67058,1396
67059,545
67060,9985
67062,3112
67063,2351
67067,2935
67068,2882
67070,915
67074,1156
67101,5398
67103,186
67104,1925
67107,1893
67108,1173
67109,254
67110,5516
67111,913
67114,13980
67117,1371
67118,745
67119,960
67120,568
67124,5714
67127,417
67132,448
67133,6025
67135,1168
67137,696
67140,503
67144,2410
67146,1440
67147,6403
67149,3207
67151,642
67152,6161
67154,1726
67155,54
67156,8927
67159,515
67203,15060
67204,14317
67205,20349
67206,20715
67207,18042
67208,9261
67209,8503
67210,5172
67211,14228
67212,27815
67213,15528
67214,10070
67215,5013
67216,9379
67217,20025
67218,8458
67219,8894
67220,11011
67226,14139
67230,6544
67235,11014
67301,7683
67330,1088
67333,1261
67335,1872
67336,1180
67337,6190
67340,1121
67342,974
67344,389
67347,446
67349,832
67351,375
67352,476
67353,574
67354,1020
67356,1426
67357,7989
67363,866
67364,866
67366,260
67401,34244
67410,4612
67416,800
67417,197
67420,3127
67422,1057
67425,365
67427,293
67428,722
67430,371
67431,1949
67432,4529
67436,382
67437,771
67439,2099
67441,1985
67442,219
67443,887
67444,300
67445,420
67446,377
67448,1467
67449,2285
67450,388
67451,434
67452,108
67454,531
67455,1581
67456,3327
67457,648
67459,90
67460,10494
67464,593
67466,396
67467,2030
67470,410
67473,1331
67476,269
67480,1368
67481,518
67482,985
67483,438
67484,433
67485,224
67487,1312
67490,649
67491,127
67492,353
67501,1455
67502,31437
67505,2369
67510,134
67514,531
67519,165
67520,320
67522,1350
67524,571
67525,913
67526,1929
67529,149
67530,11409
67543,1190
67544,2841
67546,1710
67547,1042
67548,1196
67550,3122
67552,417
67554,2658
67556,295
67560,1935
67561,769
67563,191
67565,365
67566,319
67568,166
67570,854
67574,150
67576,2650
67579,2336
67581,234
67583,452
67585,402
67601,14296
67621,712
67622,360
67623,191
67626,414
67632,146
67635,116
67637,1898
67638,299
67640,401
67642,1814
67643,126
67645,297
67646,1058
67648,281
67651,281
67653,162
67654,2793
67657,248
67661,2225
67663,1747
67665,3166
67669,1442
67671,1361
67672,2049
67673,336
67701,5448
67731,482
67735,3663
67736,264
67737,426
67738,299
67740,1546
67749,1616
67752,826
67757,299
67758,1160
67801,14996
67831,860
67834,693
67835,2467
67838,510
67839,954
67842,229
67844,618
67846,19126
67849,364
67850,171
67851,1729
67854,906
67855,1024
67859,388
67860,1679
67861,1246
67864,1651
67865,612
67867,830
67869,1020
67870,872
67871,3484
67876,985
67877,1342
67878,1327
67879,845
67880,3774
67901,10927
67950,1670
67951,2969
67952,369
67954,388
