precinct_text_name,Count
Clay Center City W1,790
Clay Center City W2,849
Clay Center City W3,701
Clay Center City W4,613
Clay Center Twp,307
Clay North 38,739
Clay North Enclave,4
Clay South H102-1,142
Clay South H102A,6
Clay South H104,480
Clay South H114,200
Clay Twp,62
Clear Creek,285
Clear Creek 053,19
Clear Creek Township,74
Clear Creek Twp,100
Clear Fork Twp,34
Cleveland 054,43
Cleveland Run Twp,37
Cleveland Twp,94
Clifford Twp,126
Clifton,150
Clifton City,188
Clifton Precinct,67
Clifton TWP,84
Climax City,49
Clinton 51,593
Clyde City / Elk,529
CO01,971
CoC P1,954
CoC P1 ExF,8
CoC P2,770
CoC P3,821
CoC P4,841
CoC P5,969
CoC P6,686
Colby City,3603
Coldwater City,476
Coldwater Twp.,134
Coleman Precinct,41
Colfax,85
Colfax TWP,284
Collyer City,64
Collyer Township,141
Colony City,285
Colorado Township,86
Columbia,40
Comanche Twp,318
Concord Twp,256
Concordia Wd1,466
Concordia Wd2 Pct1,556
Concordia Wd2 Pct2,613
Concordia Wd3,942
Concordia Wd4,409
Conkling Twp,14
Conway Springs (Conway Twnshp),520
Conway Sprngs (Springdale),233
Conway Twnshp H79,178
Conway Twshp H116,64
Coolidge,72
Copeland City,143
Copeland Twp,79
Cora Township,23
Corinth Twp,44
Corning City,154
Cottage Grove Twp,165
Cottage Hill Twp,99
Cottonwood,96
Council Grove - Ward 1,435
Council Grove - Ward 2,389
Council Grove - Ward 3,659
Courtland Twp / Courtland,278
Covert Twp,8
Coyville City,33
Crawford,331
Creek Twnshp,139
Creswell E. H12,429
Creswell E. H80,533
Creswell West,435
Crooked Creek TWP,64
Crowe,196
Crystal,37
Crystal Plains Township,19
Cullen - Williamsport,766
Culver City,75
Culver Twp,80
Cunn-Dresden,173
Cunn-Rural,118
Custer Township,68
Cutler Twp,499
Dale,110
Danville City,24
Darlington B5,340
Darlington B5 North,89
Dayton,29
DB101,1306
DB102,2
DB103,1085
DB104,1330
DB106,6
DB107,1
DB109,451
DB201,965
DB202,2060
