precinct_part_text_name,Count
15.2 Valley Township,79
15/01 450-C,850
15/02 450-C,534
15/03 450-C,87
16,1388
16.1,1728
"16.1 Center Twp N, 227, C1",49
16.1 City of Geneseo - Victori,169
16.1 Exeter,60
16.1 West Falls Local Board 1,69
16.2 Victoria Township,8
16.3 Victoria Township,3
16.4 Victoria Township,36
16.5 Victoria Township,11
16.6 Victoria Township,13
17,2483
17.1,2137
17.1 East Wash Twp,45
17.1 Five Creeks,93
17.1 West Strong,19
17.2 East Wash Twp,66
17.3 East Wash Twp,9
17.4 East Wash Twp,8
18,226
18.1,2365
18.1 Garfield,3
18.1 West Strong Strong City,44
18.1 West Wash Twp,64
18.2 Garfield,69
18.2 West Wash Twp,5
18.3 West Wash Twp,28
180010 - Weir City,443
19,1364
19.1,2349
19.1 Gill,101
19.1 Wilson Township,34
19.3 Wilson Township,8
19.4 Wilson Township,28
19.5 Wilson Township,16
19.6 Wilson Township,14
1Beloit 2-5,432
1Beloit 3-6,719
1st Ward,790
1st Ward - 109 2/5 C3,112
1st Ward - 109 3/6 C3,377
1st Ward Exclave Colonial,15
1st Ward Exclave Halls,22
1st Ward/333/MD1/CC1,466
2-1-1.1 Halstead City - 440-1,400
2-1-1.2 Halstead City - 440-2,161
2-1-2.1 Halstead City  - 440-1,9
2-1-2.2 Halstead City - 440-2,842
2 Pct 2 Ward H40,478
2 Pct 2 Ward H41,146
2 Pct 5 Ward,689
2 Pct 6 Ward H38,352
2 Pct 6 Ward H40,476
2 Pct 7 Wd 453,2061
2 Pct 7 Wd 469,511
2 West Rossville 321-1,79
2 West Rossville 321-2,198
2 West Rossville 321-2-R,284
2.1,748
2.1 Bell Township,4
2.1 Cedar USD 398,22
2.1 Clifton City,150
"2.1 Hanston City, S, 228, C4",74
2.2 Bell Township,3
2.2 Cedar USD 284,38
"2.2 Marena S, 228, C4",29
2.2 Ward Two,677
2/1 501-1,532
2/10 501-1,523
2/11 501-1,414
2/2 501-1,437
2/3 501-1,461
2/4 501-1,414
2/5 501-1,380
2/6 501-1,499
2/7 501-1,340
2/8 501-1,381
2/9 501-1,530
20,1803
20.01 EBC 432/111,16
20.02 EBC/IMBC 489/111,415
20.03 EBC/IMSE 489/111,68
20.04 EBC 489/111,304
20.1,2531
20.1 Goshen,44
20.1 Rockville Township,118
2001.1,78
2001.2,462
2002.1,49
2002.2,87
2002.3,46
2003.1,151
2003.2,110
2004.1,2
2005.1,5
2007.1,2
2008.1,6
2011.1,33
2013.1,1
2014.1,4
2016.1,12
2017.1,3
2018.1,5
2019.1,202
2019.2,69
2020.1,2
2021.1,32
2022.1,98
2024.1,2
2025.1,29
205,873
206,636
207 in USD 259-2,2184
207 in USD 259-3,968
208,623
209,1770
21,373
21 Urban Hills 345-A,17
21.01 NBC 489/111,287
21.02 NBC/IMPA 489/111,101
21.1,707
21.1 Grant,146
21.2,22
21.3,183
21.4,4
210,2293
211,903
214,1867
215,3003
216,1553
217 in USD 259-2,1397
217 in USD 375-1,522
218 in USD 259-1,2742
