Registered,Count
2.15890410958904,410
2.16164383561644,516
2.16438356164384,433
2.16712328767123,502
2.16986301369863,525
2.17260273972603,27
2.17534246575342,28
2.17808219178082,528
2.18082191780822,431
2.18356164383562,461
2.18630136986301,651
2.18904109589041,7
2.19178082191781,6
2.19452054794521,5
2.1972602739726,443
2.2,476
2.2027397260274,399
2.20547945205479,460
2.20821917808219,775
2.21095890410959,13
2.21369863013699,10
2.21643835616438,396
2.21917808219178,295
2.22191780821918,227
2.22465753424658,200
2.22739726027397,511
2.23013698630137,11
2.23287671232877,11
2.23561643835616,208
2.23835616438356,299
2.24109589041096,322
2.24383561643836,190
2.24657534246575,477
2.24931506849315,15
2.25205479452055,17
2.25479452054795,332
2.25753424657534,283
2.26027397260274,292
2.26301369863014,148
2.26575342465753,468
2.26849315068493,15
2.27123287671233,8
2.27397260273973,305
2.27671232876712,246
2.27945205479452,324
2.28219178082192,128
2.28493150684932,547
2.28767123287671,8
2.29041095890411,10
2.29315068493151,434
2.2958904109589,521
2.2986301369863,498
2.3013698630137,699
2.3041095890411,592
2.30684931506849,9
2.30958904109589,14
2.31232876712329,476
2.31506849315068,973
2.31780821917808,855
2.32054794520548,394
2.32328767123288,747
2.32602739726027,23
2.32876712328767,12
2.33150684931507,677
2.33424657534247,994
2.33698630136986,1053
2.33972602739726,856
2.34246575342466,756
2.34520547945205,7
2.34794520547945,10
2.35068493150685,1015
2.35342465753425,1178
2.35616438356164,607
2.35890410958904,300
2.36164383561644,567
2.36438356164384,11
2.36712328767123,11
2.36986301369863,438
2.37260273972603,253
2.37534246575342,754
2.37808219178082,74
2.38082191780822,19
2.38356164383562,3
2.38630136986301,10
2.38904109589041,34
2.39178082191781,59
2.39452054794521,34
2.3972602739726,90
2.4,36
2.4027397260274,15
2.40547945205479,9
2.40821917808219,37
2.41095890410959,48
2.41369863013699,40
2.41643835616438,52
2.41917808219178,32
2.42191780821918,6
2.42465753424658,3
2.42739726027397,28
2.43013698630137,48
2.43287671232877,26
2.43561643835616,49
2.43835616438356,4
2.44109589041096,17
2.44383561643836,54
2.44657534246575,42
2.44931506849315,71
2.45205479452055,1866
2.45479452054795,213
2.45753424657534,16
2.46027397260274,40
2.46301369863014,499
2.46575342465753,452
2.46849315068493,442
2.47123287671233,242
2.47397260273973,493
2.47671232876712,8
2.47945205479452,24
2.48219178082192,392
2.48493150684931,317
2.48767123287671,398
2.49041095890411,204
2.49315068493151,558
2.4958904109589,16
2.4986301369863,13
2.5013698630137,292
2.5041095890411,409
2.50684931506849,374
2.50958904109589,154
2.51232876712329,632
2.51506849315069,13
2.51780821917808,12
2.52054794520548,364
2.52328767123288,415
2.52602739726027,415
2.52876712328767,337
2.53150684931507,809
2.53424657534247,17
2.53698630136986,20
2.53972602739726,385
2.54246575342466,453
2.54520547945205,303
2.54794520547945,493
2.55068493150685,30
2.55342465753425,7
2.55616438356164,8
2.55890410958904,384
2.56164383561644,286
2.56438356164384,277
2.56712328767123,74
2.56986301369863,514
2.57260273972603,8
2.57534246575342,9
2.57808219178082,294
2.58082191780822,316
2.58356164383562,195
2.58630136986301,519
2.58904109589041,2
2.59178082191781,4
2.59452054794521,6
2.5972602739726,190
2.6,248
2.6027397260274,332
2.60547945205479,301
2.60821917808219,7
2.61095890410959,5
2.61369863013699,3
2.61643835616438,215
2.61917808219178,204
2.62191780821918,368
2.62465753424658,247
2.62739726027397,390
2.63013698630137,5
2.63287671232877,8
2.63561643835616,300
2.63835616438356,239
2.64109589041096,251
2.64383561643836,245
2.64657534246575,690
2.64931506849315,9
2.65205479452055,10
2.65479452054795,616
2.65753424657534,552
2.66027397260274,736
2.66301369863014,725
2.66575342465753,752
2.66849315068493,5
2.67123287671233,4
2.67397260273973,412
2.67671232876712,842
2.67945205479452,868
2.68219178082192,735
2.68493150684932,614
2.68767123287671,7
2.69041095890411,6
2.69315068493151,4
2.6958904109589,21
2.6986301369863,450
2.7013698630137,588
2.7041095890411,511
2.70684931506849,5
2.70958904109589,12
2.71232876712329,332
2.71506849315068,410
2.71780821917808,220
2.72054794520548,213
2.72328767123288,361
2.72602739726027,3
2.72876712328767,8
2.73150684931507,29
2.73424657534247,281
2.73698630136986,604
2.73972602739726,286
2.74246575342466,48
2.74520547945205,8
2.74794520547945,21
2.75068493150685,59
2.75342465753425,47
2.75616438356164,46
2.75890410958904,17
2.76164383561644,46
2.76438356164384,5
2.76712328767123,5
2.76986301369863,54
2.77260273972603,65
2.77534246575342,57
2.77808219178082,42
2.78082191780822,39
2.78356164383562,3
2.78630136986301,4
2.78904109589041,68
2.79178082191781,51
2.79452054794521,62
2.7972602739726,1716
2.8,879
2.8027397260274,48
2.80547945205479,95
2.80821917808219,530
2.81095890410959,553
2.81369863013699,443
2.81643835616438,510
2.81917808219178,441
2.82191780821918,18
2.82465753424658,14
2.82739726027397,505
2.83013698630137,800
2.83287671232877,337
2.83561643835616,309
2.83835616438356,306
2.84109589041096,24
2.84383561643836,18
2.84657534246575,201
2.84931506849315,455
2.85205479452055,414
2.85479452054795,263
2.85753424657534,405
2.86027397260274,22
2.86301369863014,23
2.86575342465753,296
2.86849315068493,365
2.87123287671233,377
2.87397260273973,501
2.87671232876712,807
2.87945205479452,21
2.88219178082192,42
2.88493150684932,95
2.88767123287671,54
2.89041095890411,123
2.89315068493151,253
2.8958904109589,693
2.8986301369863,6
