polling_place_text_city,Count
New Cambria,410
New Strawn,992
Newton,13980
Nickerson,769
Norcatur,162
North Newton,1371
Norton,2793
Nortonville,619
Norwich,745
Oberlin,1616
Offerle,191
Ogden,3161
Olathe,105984
Olpe,894
Olsburg,677
Onaga,1300
Osage City,2761
Osawatomie,4263
Osborne,1331
Oskaloosa,1520
Oswego,1426
Otis,365
Ottawa,12331
Overbrook,3008
Overland Park,144582
Oxford,960
Ozawkie,1973
Palco,248
Paola,10003
Park City,3724
Parker,715
Parkerfield,1231
Parsons,7989
Partridge,319
Paxico,761
Peabody,949
Peck,568
Perry,1868
Phillipsburg,2225
Pittsburg,16160
Plains,1020
Plainville,1515
Pleasanton,1446
Plevna,166
Pomona,1343
Prairie Village,14692
Pratt,5714
Prescott,364
Pretty Prairie,854
Princeton,601
Protection,417
Quinter,826
Randolph,917
Rantoul,623
Reading,312
Richmond,564
Riley,847
Riverton,2120
Robinson,506
Roeland Park,5503
Rolla,388
Rosalia,448
Rose Hill,6025
Rossville,1260
Roxbury,269
Rozel,150
Russell,3166
Sabetha,2452
Salina,33348
Satanta,872
Scammon,1112
Scandia,487
Scott City,3484
Scranton,829
Sedgwick,1168
Selden,299
Seneca,2359
Severy,696
Sharon Springs,1160
Shawnee,53167
Silver Lake,2695
Smith Center,1523
Smolan,562
Soldier,391
Solomon,1368
South Haven,503
South Hutchinson,2369
Spearville,985
Spring Hill,9909
St George,3337
St John,2650
St Marys,3066
St Paul,799
Stark,267
Sterling,2336
Stilwell,4265
Stockton,1442
Sublette,1342
Summerfield,251
Sycamore,866
Sylvan Grove,518
Sylvia,234
Syracuse,1327
Talmage,985
Tampa,438
Tecumseh,2450
Tescott,278
Thayer,827
Tipton,224
Tonganoxie,8893
Topeka,103110
Toronto,383
Towanda,2410
Tribune,845
Troy,1284
Turon,309
Tyro,866
Udall,1440
Ulysses,3774
Uniontown,1799
Valley Center,6403
Valley Falls,1324
Victoria,1361
Viola,3207
Wa Keeney,2049
Wakarusa,738
Wakefield,1312
Waldo,336
Walton,642
Wamego,5265
Washington,1393
Wathena,1503
Waverly,781
Wayside,260
Weir,1166
Welda,604
Wellington,6161
Wells,306
Wellsville,2305
Westmoreland,1283
Westphalia,439
Westwood,2660
Wetmore,366
White City,641
White Cloud,160
Whitewater,1726
Whiting,354
Wichita,261895
Williamsburg,934
Wilmore,54
Wilson,649
Winchester,841
Windom,127
Winfield,8927
Woodbine,353
Yates Center,1869
Yoder,402
Zenda,515
Zurich,117
