precinctPart,Count
Barber|Aetna Twp (Usd 255)|02,6
Barber|Deerhead Twp (Usd 254)|01,11
Barber|Eagle Twp (Usd 254)|01,20
Barber|Elm Mills Twp (Usd 254)|01,64
Barber|Elm Mills Twp (Usd 438)|02,35
Barber|Elwood Twp (Usd 255)|01,34
Barber|Hardtner City (Usd 255)|02,105
Barber|Hazelton City (Usd 255)|01,57
Barber|Hazelton Twp (Usd 254)|03,8
Barber|Hazelton Twp (Usd 255)|02,23
Barber|Isabel City (Usd 254)|02,51
Barber|Kiowa East City (Usd 255)|01,353
Barber|Kiowa East Twp (Usd 255)|02,42
Barber|Kiowa West City (Usd 255 - 1)|01,127
Barber|Kiowa West City (Usd 255 - 2)|02,89
Barber|Kiowa West Twp (Usd 255 - 1)|03,34
Barber|Lake City Twp (Usd 254)|01,58
Barber|Mcadoo (Usd 254)|01,10
Barber|Mcadoo (Usd 438)|02,9
Barber|Med Lodge Five (Mbr 4)|01,46
Barber|Med Lodge Four (Mbr 2)|01,170
Barber|Med Lodge One (Mbr 1)|01,256
Barber|Med Lodge One (Mbr 3)|02,182
Barber|Med Lodge Three (Mbr 4)|01,278
Barber|Med Lodge Two (Mbr 2)|01,163
Barber|Med Lodge Two (Mbr 3)|02,195
Barber|Med Lodge Two Exclave  (Mbr 2)|03,12
Barber|Mingona Twp (Usd 254)|01,63
Barber|Moore Twp (Usd 254-6)|03,14
Barber|Moore Twp (Usd 255)|02,10
Barber|Moore Twp 17 KH (Usd 255)|01,25
Barber|Sharon City (Usd 254)|02,118
Barber|Sharon Twp (Usd 254)|01,113
Barber|Sun City (City) (Usd 254)|02,34
Barber|Sun City (Twp) (Usd 254)|01,6
Barber|Turkey Creek (Usd 254)|01,12
Barber|Valley Twp (Usd 254)|01,48
Barton|Albert City|01,125
Barton|Albion Twp|01,34
Barton|Beaver Twp REC|01,61
Barton|Beaver Twp|02,6
Barton|Buffalo Twp|01,308
Barton|Cheyenne Twp REC|01,120
Barton|Cheyenne Twp|03,24
Barton|Claflin City REC|02,468
Barton|Clarence Twp 428|01,43
Barton|Clarence Twp 495|02,51
Barton|Cleveland Twp REC|03,27
Barton|Cleveland Twp|01,7
Barton|Comanche Twp EHD|01,202
Barton|Comanche Twp|02,117
Barton|Ellinwood City EHD|01,1419
Barton|Eureka Twp 428|01,5
Barton|Eureka Twp 431|02,70
Barton|Fairview Twp|02,48
Barton|Galatia City|01,29
Barton|GBC  P1-1W|01,612
Barton|GBC  P1-2W|01,967
Barton|GBC  P1-3W|01,724
Barton|GBC  P1-4W|01,724
Barton|GBC  P2-1W|01,914
Barton|GBC  P2-2W|01,870
Barton|GBC  P2-3W|01,806
Barton|GBC  P2-4W|01,642
Barton|GBC  P3-1W|01,641
Barton|GBC  P3-2W|01,888
Barton|GBC  P3-3W Exclave|02,1
Barton|GBC  P3-3W|01,859
Barton|GBC  P3-4W|01,309
Barton|Grant Twp 403|01,31
Barton|Grant Twp 431|02,12
Barton|Great Bend Twp A 355|01,3
Barton|Great Bend Twp A 428|02,973
Barton|Great Bend Twp B|01,149
Barton|Hoisington 1st Ward|01,491
Barton|Hoisington 2nd Ward|01,480
Barton|Hoisington 3rd Ward|01,436
Barton|Hoisington 4th Ward|01,440
Barton|Independent Twp 112 REC|04,83
Barton|Independent Twp 112|01,5
Barton|Lakin Twp A EHD|02,118
Barton|Lakin Twp B EHD|01,60
Barton|Liberty Twp 428|01,148
Barton|Liberty Twp 495|02,37
Barton|Logan Twp REC 354|01,114
Barton|North Homestead Twp|01,93
Barton|Olmitz City|01,73
Barton|Pawnee Rock City|01,147
Barton|Pawnee Rock Twp|02,98
Barton|South Bend Twp|01,423
Barton|South Homestead Twp 428|01,12
Barton|South Homestead Twp 431|02,251
Barton|Susank City|01,24
Barton|Union Twp|02,48
Barton|Walnut-Albert Twp 403|02,30
Barton|Walnut-Albert Twp 428|03,10
Barton|Walnut-Olmitz Twp|02,49
Barton|Wheatland|01,42
Bourbon|1st Ward Exclave Colonial|02,15
Bourbon|1st Ward Exclave Halls|02,22
Bourbon|Bronson City|01,199
Bourbon|Drywood|01,322
Bourbon|East Marion 235 2-5|01,99
Bourbon|East Marion 235 3-6|02,233
Bourbon|Fort Scott 1st Ward|01,970
Bourbon|Fort Scott 2nd Ward|01,916
Bourbon|Fort Scott 3rd Ward|01,395
Bourbon|Fort Scott 4th Ward|01,829
Bourbon|Fort Scott 5th Ward|01,826
Bourbon|Fort Scott 6th Ward|01,2059
Bourbon|Fort Scott 7th Ward|01,1039
Bourbon|Franklin 235|01,114
Bourbon|Franklin 346|02,149
Bourbon|Freedom|01,243
Bourbon|Fulton City|01,115
Bourbon|Mapleton City|01,72
Bourbon|Marmaton 234|01,370
Bourbon|Marmaton 235 1-4|03,107
Bourbon|Marmaton 235 3-6|02,79
Bourbon|Millcreek 234|01,249
Bourbon|Millcreek 235|02,164
Bourbon|NE Scott|01,260
Bourbon|NW Scott|01,411
Bourbon|Osage|01,297
Bourbon|Pawnee 234|01,136
Bourbon|Pawnee 235 2-5|03,64
Bourbon|Pawnee 235 3-6|02,91
Bourbon|Redfield City|01,89
Bourbon|South Scott|01,1324
Bourbon|Timberhill 234|01,7
Bourbon|Timberhill 235|02,82
Bourbon|Timberhill 346|03,31
Bourbon|Uniontown City|01,208
Bourbon|Walnut 235|01,85
Bourbon|Walnut 248|02,2
Bourbon|West Marion|01,78
Brown|Everest City|01,187
Brown|Fairview City|01,172
Brown|Hamlin City|01,27
Brown|Hamlin Twp - Reserve|01,73
Brown|Hamlin Twp (113- -1)|02,34
Brown|Hamlin Twp (415 1-4)|01,66
"Brown|Hiawatha City, Ward 1|01",352
"Brown|Hiawatha City, Ward 2|01",939
"Brown|Hiawatha City, Ward 3|01",783
"Brown|Hiawatha City, Ward 4|01",165
Brown|Hiawatha Twp (415  2-5)|01,296
Brown|Hiawatha Twp (415  3-6)|02,152
"Brown|Horton City, Ward 1 (1-4)|01",317
"Brown|Horton City, Ward 1 (2-5)|02",142
"Brown|Horton City, Ward 2 (1-4)|01",212
"Brown|Horton City, Ward 2 (3-6)|02",156
"Brown|Horton City, Ward 3 (1-4)|01",104
"Brown|Horton City, Ward 3 (2-5)|02",41
"Brown|Horton City, Ward 3 (3-6)|03",106
Brown|Irving Twp (111 1-3-5)|02,18
Brown|Irving Twp (415 1-4)|01,217
Brown|Mission Twp (415 1-4)|01,77
Brown|Mission Twp (430 2-5)|03,140
Brown|Mission Twp (430 3-6)|04,188
Brown|Morrill City|01,142
Brown|Morrill Twp (113 -1)|01,180
Brown|Padonia Twp ( 415 1-4)|01,145
Brown|Powhattan City|01,43
Brown|Powhattan Twp (113 -4)|03,12
Brown|Powhattan Twp (335 4-6-7)|04,30
Brown|Powhattan Twp (415 1-4)|01,93
Brown|Powhattan Twp (430 2-5)|02,342
Brown|Reserve City - Hamlin Twp|01,54
Brown|Robinson City|01,134
Brown|Robinson Twp (415 1-4)|01,139
"Brown|Sabetha City, Morrill|01",4
Brown|Walnut Twp (113 - 4)|02,91
Brown|Walnut Twp (415 1-4)|01,171
Brown|Washington Twp (111 2-4-6)|04,8
Brown|Washington Twp (415 1-4)|01,15
Brown|Washington Twp (430 3-6)|03,134
Brown|Willis City|01,21
Butler|Andover W1 385-1 99 CM 1|10,3670
Butler|Andover W1 385-2 99 CM 1|20,2252
Butler|Andover W2 385-3 99 CM 1|10,3410
Butler|Andover W3 385-3 77 CM 5 A|10,940
Butler|Andover W3 385-3 77 CM 5 Exc C|10,167
Butler|Andover W3 385-3 77 CM 5|10,172
Butler|Andover W3 385-3 88 CM 5|10,820
Butler|Andover W4 385-3 77 CM 5|10,286
Butler|Augusta Twp 205 - 32|50,72
Butler|Augusta Twp 205 14|70,23
Butler|Augusta Twp 32 375-6 B|10,3
Butler|Augusta Twp 32 402 A|10,11
Butler|Augusta Twp 375-6 - 32|40,6
Butler|Augusta Twp 375-6 14|60,228
Butler|Augusta Twp 402 - 32|10,649
Butler|Augusta Twp 402 14|30,36
Butler|Augusta W1|10,1699
Butler|Augusta W2|10,1230
Butler|Augusta W3|10,1846
Butler|Augusta W4|10,1651
Butler|Benton City 75 375-2|10,661
Butler|Benton City 85 375-2|10,94
Butler|Benton Twp 75 375-4|40,494
Butler|Benton Twp 75 375-6|30,65
Butler|Benton Twp 75 375 -2|10,156
Butler|Benton Twp 75 385-2|20,174
Butler|Benton Twp 85 375-2|10,287
Butler|Benton Twp 85 385-2|20,7
Butler|Bloomington Twp 205|20,255
Butler|Bloomington Twp 396|30,27
Butler|Bloomington Twp 402|10,109
Butler|Bruno Twp N 375-6 77 -1|30,152
Butler|Bruno Twp N 385-2 - 77 - 1|50,32
Butler|Bruno Twp N 385-2 - 99 - 1|20,270
Butler|Bruno Twp N 385-3 - 99 - 1|10,27
Butler|Bruno Twp N 385-3 77 - 1|70,460
Butler|Bruno Twp N 402 77 - 1 B|10,94
Butler|Bruno Twp N 402 77 - 1 C|10,46
Butler|Bruno Twp N 402 77 - 1|40,280
Butler|Bruno Twp S 385-3 77 CM 5|20,195
Butler|Bruno Twp S 385-3 88 CM 5|10,5
Butler|Bruno Twp S 402 77 CM 5|10,235
Butler|Cassoday City 492-1|10,75
Butler|Chelsea Twp 389|20,2
Butler|Chelsea Twp 490|10,39
Butler|Chelsea Twp 492-1|30,137
Butler|Chelsea Twp 492-2|40,26
Butler|Clay Twp 205|10,20
Butler|Clay Twp 396|20,19
Butler|Clay Twp 462|30,19
Butler|Clifford Twp 206|10,70
Butler|Clifford Twp 398|20,57
Butler|Douglass City 396|10,1045
Butler|Douglass Twp 32 396|10,125
Butler|Douglass Twp 396|20,253
Butler|El Dorado Twp East 205|30,51
Butler|El Dorado Twp East 375-6|20,17
Butler|El Dorado Twp East 490|10,70
Butler|El Dorado Twp West 205|60,26
Butler|El Dorado Twp West 375-5|10,107
Butler|El Dorado Twp West 375-6|50,213
Butler|El Dorado Twp West 490 B|10,2
Butler|El Dorado Twp West 490|30,41
Butler|El Dorado W1|10,2643
Butler|El Dorado W2|10,3662
Butler|El Dorado W3 375-5|20,588
Butler|El Dorado W3 490|10,109
Butler|El Dorado W4 375-5|20,62
Butler|El Dorado W4 375-6 A|10,37
Butler|El Dorado W4 375-6|30,203
Butler|El Dorado W4 490|10,1453
Butler|Elbing City 206|10,170
Butler|Fairmount Twp 206|20,190
Butler|Fairmount Twp 398|30,7
Butler|Fairview Twp 206|10,20
Butler|Fairview Twp 375-4|20,387
Butler|Glencoe Twp 205|10,128
Butler|Glencoe Twp 492-3|20,14
Butler|Hickory Twp 205|10,69
Butler|Latham City 205|10,72
Butler|Leon City 205|10,441
Butler|Lincoln Twp 206|30,2
Butler|Lincoln Twp 375-5|40,11
Butler|Lincoln Twp 398|10,53
Butler|Lincoln Twp 490|20,147
Butler|Lincoln Twp 492-1|50,2
Butler|Little Walnut Twp 205|20,234
Butler|Logan Twp 205|10,101
Butler|Milton Twp 206 75|20,285
Butler|Murdock Twp 206|30,165
Butler|Murdock Twp 375-2 A|10,6
Butler|Murdock Twp 375-2|10,42
Butler|Murdock Twp 375-4|20,99
Butler|Pleasant Twp 394|30,1545
Butler|Pleasant Twp 396|40,34
Butler|Pleasant Twp 402|10,218
Butler|Pleasant Twp 77 385-3 A|10,4
Butler|Pleasant Twp 77 385-3|20,41
Butler|Pleasant Twp 88 385-3|20,32
Butler|Pleasant Twp 88 394|10,91
Butler|Pleasant Twp N 77 394|10,11
Butler|Plum Grove Twp 206|20,128
Butler|Potwin City 206|10,293
Butler|Prospect Twp 205|40,211
Butler|Prospect Twp 490|10,459
Butler|Prospect Twp 492-2|20,200
Butler|Prospect Twp 492-3|30,8
Butler|Richland Twp 394 A|10,2
Butler|Richland Twp 394|10,326
Butler|Richland Twp 396|20,564
Butler|Rock Creek Twp 205|10,16
Butler|Rock Creek Twp 396|20,241
Butler|Rosalia Twp 205|30,4
Butler|Rosalia Twp 492-2|10,155
Butler|Rosalia Twp 492-3|20,286
Butler|Rose Hill City-Rockwood Falls|10,54
Butler|Rose Hill City-Sienna 394|10,315
Butler|Rose Hill City 394 Pleasant|10,1650
Butler|Rose Hill City 394 Richland|20,1111
Butler|Spring Twp 205|20,1088
Butler|Spring Twp 375-6|30,12
Butler|Spring Twp 402|10,76
Butler|Sycamore Twp 490 A|10,3
Butler|Sycamore Twp 490 B|10,4
Butler|Sycamore Twp 490|30,4
Butler|Sycamore Twp 492-1|40,142
Butler|Towanda City 375-3|10,882
Butler|Towanda City 375-6|70,181
Butler|Towanda Twp 375-3 A|10,2
Butler|Towanda Twp 375-3 C|10,2
Butler|Towanda Twp 375-3|30,15
Butler|Towanda Twp 375-4|40,226
Butler|Towanda Twp 375-6|60,669
Butler|Union Twp 205|20,29
Butler|Walnut Twp 12-32 205|30,4
Butler|Walnut Twp 12-32 396|10,130
Butler|Walnut Twp 12-32 402|20,120
Butler|Walnut Twp 394|40,5
Butler|Walnut Twp 396|10,7
Butler|Walnut Twp 402|30,322
Butler|Whitewater City 206 72|10,538
Chase|1.1 Bazaar Local Board 3|01,75
Chase|10.1 East Strong Strong City|01,258
Chase|11.1 Homestead|01,38
Chase|12.1 Matfield MFG City|01,44
Chase|13.1 Matfield|01,49
Chase|14.1 Toledo|01,248
Chase|15.1 West Falls CWF City|01,297
Chase|16.1 West Falls Local Board 1|01,68
Chase|17.1 West Strong|01,20
Chase|18.1 West Strong Strong City|01,43
Chase|2.1 Cedar USD 398|01,20
Chase|2.2 Cedar USD 284|02,38
Chase|3.1 Cedar Point|01,11
Chase|4.1 Cottonwood  Local Board 1|01,101
Chase|5.1 Diamond USD 397|01,9
Chase|5.2 Diamond USD 284|02,116
Chase|6.1 East Falls CWF City|01,214
Chase|7.1 East Falls|01,97
Chase|8.1 Diamond  Elmdale City|01,26
Chase|9.1 East Strong|01,101
Chautauqua|Belleville-Chautauqua City|02,59
Chautauqua|Belleville-Chautauqua|01,106
Chautauqua|Belleville-Peru City|02,76
Chautauqua|Belleville-Peru|01,112
Chautauqua|Caneyville-USD 282|01,13
Chautauqua|Caneyville-USD 285|02,39
Chautauqua|Caneyville-USD 286-Member #1|03,6
Chautauqua|Center-USD 282|01,22
Chautauqua|Center-USD 285|02,2
Chautauqua|Center-USD 286-Member #1|03,28
Chautauqua|Harrison|01,51
Chautauqua|Hendricks--Elgin City-USD 286|03,39
Chautauqua|Hendricks-USD 285|01,3
Chautauqua|Hendricks-USD 286-Member #1|02,29
Chautauqua|Jefferson-Cedar Vale City|02,297
Chautauqua|Jefferson-USD 285|01,78
Chautauqua|Lafayette-USD 286-Member #1|02,36
Chautauqua|Little Caney-Niotaze-USD 436|03,66
Chautauqua|Little Caney-USD 286-Member #3|01,63
Chautauqua|Little Caney-USD 436|02,121
Chautauqua|North Sedan-Sedan City|02,408
Chautauqua|North Sedan|01,93
Chautauqua|Salt Creek-USD 283|01,38
Chautauqua|Salt Creek-USD 286-Member #1|02,41
Chautauqua|Salt Creek-USD 446|03,2
Chautauqua|South Sedan-Sedan City|02,217
Chautauqua|South Sedan|01,151
Chautauqua|Summit-USD 285|01,21
Chautauqua|Summit-USD 286-Member 1|03,39
Chautauqua|Washington-USD 286-Member 3|01,53
Chautauqua|Washington-USD 436|02,7
Cherokee|000010 - Baxter Sp W1|01,618
Cherokee|000020 - Baxter Sp W2|01,635
Cherokee|000030 - Baxter Sp W3|01,1112
Cherokee|00004A - Baxter Sp W4|01,828
"Cherokee|000050 - Cherokee (247, 1-4)|01",165
"Cherokee|000050 - Cherokee (493, 3-6)|02",107
Cherokee|000060 - Columbus W1 (1-4)|02,4
Cherokee|000060 - Columbus W1 (2-5)|01,378
Cherokee|000070 - Columbus W2 (1-4)|02,369
Cherokee|000070 - Columbus W2 (2-5)|01,145
Cherokee|000080 - Columbus W3 (1-4)|02,56
Cherokee|000080 - Columbus W3 (2-5)|01,403
Cherokee|000090 - Columbus W4|01,452
Cherokee|00010A - Columbus W5 (1-4)|03,1
Cherokee|00010A - Columbus W5 (2-5)|01,163
Cherokee|00010A - Columbus W5 (3-6)|02,223
"Cherokee|000110 - Crawford (404, 1-4)|01",121
"Cherokee|000110 - Crawford (493, 3-6)|02",372
Cherokee|000120 - Galena W1|01,594
Cherokee|00013A - Galena W2|01,495
Cherokee|000140 - Galena W3|01,695
Cherokee|00015A - Galena W4|01,438
Cherokee|000170 - Grdn / Lwl (404.1-4)|04,57
Cherokee|000170 - Grdn / Lwl (404.2-5)|01,1046
Cherokee|000170 - Grdn / Lwl (404.3-6)|02,561
"Cherokee|000170 - Grdn / Lwl (508, AL)|03",64
"Cherokee|00018A - Grdn / StMns(404,1-4)|04",31
"Cherokee|00018A - Grdn / StMns(404,2-5)|01",8
"Cherokee|00018A - Grdn / StMns(404,3-6)|02",291
"Cherokee|00018A - Grdn / StMns(499,AL)|03",231
"Cherokee|000190 - Lola (493, 1-4)|01",235
"Cherokee|000200 - Lowell (404, 1-4)|03",304
"Cherokee|000200 - Lowell (404, 2-5)|01",23
"Cherokee|000200 - Lowell (499, AL)|02",228
"Cherokee|000210 - Lyon / Lyon (493,1-4)|01",277
"Cherokee|000220 - Mineral (247, 1-4)|01",46
"Cherokee|000220 - Mineral (493, 3-6)|02",103
"Cherokee|000230 - Nsh / Flknr (493,1-4)|01",75
"Cherokee|000240 - Nsh / Mlrs (493,1-4)|01",108
"Cherokee|000240 - Nsh / Mlrs (505,AL)|02",7
"Cherokee|000250 - Pleasant Vw (247,1-4)|01",13
"Cherokee|000250 - Pleasant Vw (250, AL)|02",4
"Cherokee|000250 - Pleasant Vw (493,3-6)|03",426
"Cherokee|000270 - Ross/Bllvw (247, 2-5)|01",16
"Cherokee|000270 - Ross/Bllvw (247, 3-6)|02",6
"Cherokee|000270 - Ross/Bllvw (493, 1-4)|03",45
"Cherokee|000270 - Ross/Bllvw (493, 3-6)|04",75
"Cherokee|000280 - Ross/Rslnd (247,2-5)|01",95
"Cherokee|000280 - Ross/Rslnd (493,3-6)|02",28
"Cherokee|000280 - Ross/Rslnd (493,3-6)C|03",67
"Cherokee|000290 - Ross/W Min (247,2-5)|01",14
"Cherokee|000290 - Ross/W Min (247,3-6)|03",42
"Cherokee|000290 - Ross/W Min (247,3-6)C|02",132
"Cherokee|00030A - Salamanca (493, 1-4)|01",407
"Cherokee|00030A - Salamanca (493, 2-5)|02",14
Cherokee|000310 - Scammon W1|01,81
Cherokee|000320 - Scammon W2|01,117
Cherokee|000330 - Scammon W3|01,105
"Cherokee|000340 - Shawnee (404, 1-4)|04",36
"Cherokee|000340 - Shawnee (404, 2-5)|01",19
"Cherokee|000340 - Shawnee (493, 3-6)|02",315
"Cherokee|000340 - Shawnee (499, AL)|03",34
"Cherokee|000350 - Sheridan (247, 3-6)|01",148
"Cherokee|000350 - Sheridan (493, 1-4)|02",15
"Cherokee|000360 - SpVly / Ntrl (508,AL)|03",15
"Cherokee|000360 - SpVly / Ntrl(404,1-4)|01",471
"Cherokee|000360 - SpVly / Ntrl(493,3-6)|02",21
"Cherokee|00037A - SpVly / SpVly(404,14)|01",26
"Cherokee|00037A - SpVly / SpVly(508,AL)|02",360
Cherokee|180010 - Weir City|01,442
Cheyenne|Benkelman Twp|01,32
Cheyenne|Bird City Twp/15|01,93
Cheyenne|Bird City Twp/26|02,81
Cheyenne|Calhoun Twp/25/297|01,28
Cheyenne|Calhoun Twp/26/103|02,7
Cheyenne|City of Bird City|03,314
Cheyenne|Cleveland Run Twp/14|01,30
Cheyenne|Cleveland Run Twp/25|02,11
Cheyenne|Jaqua Twp|01,12
Cheyenne|Orlando Twp/25/297|01,42
Cheyenne|Orlando Twp/26/103|02,3
Cheyenne|St. Francis City/2/14/W1|01,347
Cheyenne|St. Francis City/3/25/W2|03,272
Cheyenne|St. Francis City/3/36/W2|04,333
Cheyenne|Wano Twp/2/14/W1|02,226
Cheyenne|Wano Twp/3/103/26/W2|07,5
Cheyenne|Wano Twp/3/25/W2|05,113
Cheyenne|Wano Twp/3/36/W2|06,79
Clark|App/C3/H1/459|03,3
Clark|App/C3/H2/219|01,115
Clark|App/C3/H3/220|05,2
Clark|Cen1/C1/H3/220/City|01,408
Clark|Cen2/C2/H3/220/City|01,234
Clark|Cen2/C2/H3/220/Rural|02,77
Clark|Eng/C2/H0/220/City|01,62
Clark|Eng/C2/H3/220/Rural|02,36
Clark|Lex/C1/H3/220|01,30
Clark|Lex/C1/H3/459|02,3
Clark|Lib/C1/H1/459|01,25
Clark|Minn/C3/H2/219|04,536
Clark|Sit/C1/H3/220|01,26
Clark|Sit/C1/H3/300|02,13
Clay|11.1 Athelstane|01,80
Clay|12.1 Blaine|01,205
Clay|13.1 Bloom|01,7
Clay|13.2 Bloom|02,94
Clay|14.1 Chapman|01,76
Clay|15.1 Clay Center|01,300
Clay|16.1 Exeter|01,62
Clay|17.1 Five Creeks|01,94
Clay|18.1 Garfield|01,3
Clay|18.2 Garfield|02,71
Clay|19.1 Gill|01,98
Clay|1st Ward|01,807
Clay|2.1 Clifton City|01,150
Clay|20.1 Goshen|01,43
Clay|21.1 Grant|01,145
Clay|22.1 Hayes|01,156
Clay|23.1 Highland|01,115
Clay|24.1 Mulberry|01,10
Clay|24.2 Mulberry|02,15
Clay|24.3 Mulberry|03,4
Clay|25.1 Oakland|01,3
Clay|25.2 Oakland|02,46
Clay|26.1 Republican|01,129
Clay|27.1 Sherman|01,9
Clay|27.2 Sherman|02,42
Clay|28.1 Union|01,120
Clay|2nd Ward|01,839
Clay|3.1 Green City|01,92
Clay|3rd Ward|01,710
Clay|4.1 Longford City|01,68
Clay|4th Ward|01,623
Clay|5.1 Morganville City|01,132
Clay|6.1 Oak Hill City|01,21
Clay|7.1 Vining City|01,27
Clay|8.1 Wakefield City|01,662
Cloud|1st Ward/333/MD1/CC1|01,496
Cloud|2nd Ward/1st Prec/333/MD1/CC2|01,49
Cloud|2nd Ward/1st Prec/333/MD2/CC2|02,522
Cloud|2nd Ward/2nd Prec/333/MD1/CC2|01,102
Cloud|2nd Ward/2nd Prec/333/MD2/CC2|02,546
Cloud|2nd Wd/2nd Prec/333/MD2/CC2 Ex|03,4
Cloud|3rd Ward/333/MD1/CC3|01,207
Cloud|3rd Ward/333/MD2/CC3|02,430
Cloud|3rd Ward/333/MD3/CC3|03,311
Cloud|4th Ward/333/MD1/CC2|01,431
Cloud|Arion Twp/333/MD3/CC2|01,60
Cloud|Arion Twp/334/MD2/CC2|02,17
Cloud|Aurora City/333/MD3/CC1|03,35
Cloud|Aurora Twp/333/MD3/CC1|01,38
Cloud|Aurora Twp/334/MD1/CC1|02,11
Cloud|Buffalo Twp/333/MD3/CC2|01,70
Cloud|Clyde City/224/MD4/CC1|02,195
Cloud|Clyde City/224/MD5/CC1|03,249
Cloud|Clyde City/224/MD6/CC1|04,29
Cloud|Colfax Twp/224/MD6/CC1|01,18
Cloud|Colfax Twp/334/MD1/CC1|02,6
Cloud|Colfax Twp/379/CC1|03,1
Cloud|E. Center Twp/333/MD3/CC3|01,75
Cloud|E. Center Twp/334/MD1/CC3|02,2
Cloud|E. Center Twp/334/MD2/CC3|03,2
Cloud|E. Lincoln 107 Pct/333/MD3/CC3|01,24
Cloud|E. Lincoln 64 Pct/333/MD3/CC3|01,146
Cloud|E. Meredith Pct/239/CC3|01,2
Cloud|E. Meredith Pct/334/MD1/CC3|02,22
Cloud|E. Meredith Pct/334/MD2/CC3|03,14
Cloud|E. Sibley Twp/333/MD3/CC1|01,70
Cloud|Elk Twp/224/MD3/CC1|01A,64
Cloud|Elk Twp/224/MD6/CC1|01,4
Cloud|Glasco City/334/MD2/CC3|03,269
Cloud|Grant Twp/333/MD3/CC3|01,63
Cloud|Jamestown City/333/MD3/CC3|03,145
Cloud|Lyon Twp/239/CC3|01,17
Cloud|Lyon Twp/334/MD2/CC3|03,52
Cloud|Miltonvale City/334/MD1/CC1|03,283
Cloud|N. Lawrence Pct/109/CC1|03,2
