polling_place_text_name,Count
Dillon Nature Center,1899
Dodge City Civic Center,9016
Dotzour Community Center,745
Douglass Community Bldg,1680
Dover Comm Ctr,821
Downs Memorial Hall,795
Dresden Methodist Church,113
Dwest South Gym-Be,192
Dwest South Gym-De,213
Dwest South Gym-Se,175
Dwight Lamson Post 258 the American Legion,653
Dwight United Methodist Church- Twp 4,148
Dwight United Methodist Church - Twp 3,310
East Hess/4-H Bldg,244
East Lake Volunteer Hall,657
East Point Church Of Christ,2327
East Side Baptist Ch,1981
Eastborough City Hall,639
Eastminster Presbyterian,4650
Eastmoor United Methodist Church,2223
EC/SH Ell-Saline Elem Sch,971
Edgemoor Rec Center,2509
Edgerton United Methodist Church,1968
Edna Community Senior Center,970
Edwardsville City Hall Training Room,3081
Effingham Municipal Building,690
Eisenhower Recreation Center,3348
El Dorado Civic Center,5282
El Dorado Senior Center,2643
Elk City Community Building,399
Ellsworth American Legion,2125
Elm Grove Baptist Church,1261
Elwood Community Center,735
Emmanuel Baptist Church,2457
Emporia Presbyterian Church,2344
Emporia Recreation Center,1749
Emporia Senior Center,1971
EU/GY Gypsum Com Room,592
Eureka Public Library,2668
Evangel Presbyterian Church,2625
Evergreen Library,4211
Evidence Church,3689
Exodus Church,2381
F N B Annex & Community Center,429
FA/WS(400) Luth Parish Hl,227
Fair Building,1099
Fairlawn Nazarene Ch,1541
Fairmount Twp Fire Stat.,1538
Fairview Community Center,1280
Fairview Fire Station,719
Faith Bible Fellowship,1095
Faith Chapel Assembly of God,1226
Faith City Christian Center,2814
Faith Community Church - Family Center,1404
Faith Evangelical Lutheran Church,2891
Faith United Church,364
Farlington Town Hall,434
Farlinville Comm. Bldg.,461
Fellowship Bible Ch,517
Fellowship Bible Church,3156
Fellowship Olathe,1599
Finney County Library,1536
Fire Dist No.1 Fire Stat.,1611
Fire District #1 Fire Station,1037
Fire District #5 Eskridge Station,1075
Fire District #9 Building,481
Fire Station 21,2230
First Assembly of God,2465
First Assembly of God Church,2696
First Baptist Ch,1872
First Baptist Church,9286
First Baptist Church - Basehor,2615
First Baptist Church - Leav,2366
First Baptist Church Annex,484
First Baptist Church of Gardner,2295
First Baptist Church of Olathe,4484
First Baptist Church of Stilwell,2322
First Baptist Haysville,4667
First Christian Ch,949
First Christian Church,5604
First Congregational Ch,955
First Luth Ch,991
First Lutheran Church,2726
First Pentecostal Church,3455
First St. John Lutheran Church,617
First UMC,1428
First United Methodist Ch,2033
First United Methodist Ch*,381
First United Methodist Church,15028
Fisher Center,3086
Flint Hills Event Center,356
Florence John McKay American Legion Post 308,423
Fontana Methodist Church,451
Foote 4-H Bldg,56
Ford Community Church Fellowship Hall,232
Four Colonies Clubhouse 3,3006
Fowler Senior Center,563
Fulton Community Bldg,655
Galena City Hall,2222
Galva Community Center,890
Garden Plain High School,1541
Garden Valley Church,5052
Gardner Church of the Nazarene,3217
Garfield Comm Ctr,874
Garfield Community Center,159
Gas Community Center,1289
Gateway,1629
Gaylord Community Center,304
GB Activity Center,2167
GB Recreation Center,1675
Geneseo 55+ Club,304
George J. Perry Armory,3063
Girl Scouts Office,2792
GL/OH/PV F D Station #3,649
Glasco Fire Department Meeting Room,425
Glenville Church,1191
God's Lighthouse of Prayer Church,438
Goddard District Conference Center,1928
Goddard Pathway Church,2906
Goessel City Building,1029
Goff Comm Center - Goff City,63
Goff Comm Center - Harrison-Goff,58
Goff Comm Center - Harrison-Kelly,80
Goff Comm Center - Reilly,78
Good Shepherd Episcopal Church,4367
Gorham Senior Center,392
Gove,152
Gove County Office Blgd,122
GR/09 First Christian Ch,3324
Grace Baptist Church,5087
Grace Church South Overland Park,2299
Grace Community Church,7302
Grace Community Church of the Nazarene,1642
Grace Covenant Presbyterian Church,2737
Grace Fellowship Church,3123
Grace Fellowship Church-Pct 11,682
Grace Fellowship Church-Pct 12,955
Grace Fellowship Church-Pct 13,686
Grace Fellowship Church-Pct 4,356
Grace Fellowship Church-Pct 5,459
Grace Fellowship Church-Pct 6,187
Grace Fellowship Church Parker Twp 1,201
Grace Fellowship Church Parker Twp 2,634
Grace Presbyterian Church,3367
Grace UMC,473
Grace United Methodist Church,3221
GraceFirst,3988
Grainfield,301
Grandview Plaza Community Center,1744
Grant Twp Hall & Fire Station,1036
Grantville Comm Bldg,1057
Greater St Mary Baptist Church,3417
Greeley Co Courthouse,897
Greenwood Community Building,355
Gridley Community Bldg,678
Grinnell,311
Grinnell VFW,32
Grove Twp Hall,556
GS Community Activity Bldg,229
Haddam City Hall,225
Halstead HS New Gym,1813
Hamilton Activity Center,409
Hamilton County Courthouse,1350
Hanston Elk Plaza,375
Hardman Hall,194
Harper Senior Center (Twp 5 West),87
Harper Senior Center (TWP 6 West),61
"Harper Senior Center( Danville,Twp5 East)",242
Harper Senior Center(Harper Wd1),394
Harper Senior Center(Harper Wd2),462
Harper Senior Center(Twp 6 East),140
Harrison Township Hall,388
Hartford Community Center,523
Harvest Ridge Covenant Church,2391
Harveyville Community Center,423
Haskell County Ambulance Building,1340
Havana Methodist Church,445
Haven Baptist Church,3905
Haven Senior Citizens Center,1212
Hays Recreation Center,2620
Haysville Activity Center,2778
Haysville Community Library,2562
HCC Western Center Commons - Center,135
HCC Western Center Commons - Clear Creek,78
HCC Western Center Commons - Marion,283
Healy United Methodist Church,170
Heart of Christ Church,4923
Heritage Hall Event Ctr,2313
Heritage Park Golf Course,3950
Heritage Presbyterian Church,2950
Heritage Tours Meeting Room,408
Heritage United Methodist Church,2628
Herndon Senior Center,205
High Prairie Church,1815
High Prairie Church-Altoona,1069
High View Church,436
Highland Community Center,741
Highland Community Center-Le,55
Highland Hgts Christian,1177
Highland Park HS,1446
Highland Park UMC,1374
Hillcrest Comm Ctr,1092
Hillcrest Community Building,455
Hillcrest Covenant Church,2043
Hillsboro United Methodist Church,2395
Hillside Christian Church,5747
Hilltop Conference Center Blue Valley,7322
HOA Reg. Volleyball Facility,3349
Hockett Auditorium,563
Hoisington Activity Center - Arts & Crafts Room,986
Hoisington Activity Center - Meeting Rm,1847
Holcomb Recreation Center,1726
Holm West (Green Ford Building) W1,760
Holm West (Green Ford Building) W2,1155
Holm West (Green Ford Building) W3,707
Holm West (Green Ford Building) W4-1,906
Holm West (Green Ford Building) W4-2,1087
Holy Cross Lutheran,4348
Holy Trinity Orthodox Church,2989
Holyrood Lutheran Parish Hall,398
Hoover Pavilion,5874
Hope Alive Church,1182
Hope Chapel,5864
Hope Church,4774
Hope Community Church,11618
Horton Blue Building,1848
House of Prayer Church,2132
Howard Cox Building,825
Hoyt Community Bldg,1739
Huck Boyd Center,2372
Huck Boyd Center (Glade),304
Humboldt Methodist Church,2081
Hunter Community Building,114
Immaculate Conception Parish Hall,915
Immanuel Church Hall,355
Immanuel United Methodist Church,488
Independence Community College - Fab Lab,1429
Indian Heights United Methodist Church,3494
Ingalls 4-H Bldg,362
Inman Community Center,1159
Inman Community Center*,559
Islamic Center of Johnson County,2899
Ja Co Courthouse,1412
Jamestown Activity Center,248
JCCC Midwest Trust Center,5735
Jennings Sr Center,133
Jewell Community Center,677
Jo Co Church Of Christ,2630
Jo Co Northeast Offices,6603
Jo Co Sunset Office Building,4238
Joe Amayo/Argentine Community Center,3977
Journey Bible Church,3919
Journey Church,3764
Journey Mennonite Church,531
Junction City Municipal Building,5915
K-State Res/Ext Ofc-Wildcat Rm.,2860
Kanopolis City Library,550
Kansas City Kansas Community College - TEC,2437
Kansas National Guard Armory,2511
Kaw Prairie Community Church,3972
Keats Community Center,657
Kechi City Building,2909
Kelley Hall Ward 1,630
Kelley Hall Ward 2,571
Kelley Hall Ward 3,605
Kentucky Township Bldg,1237
King Center,917
Kingdom Life Church,3109
Kingman Expo Center North Room,677
Kingman Expo Center South Room,2179
Kinsley-Offerle Elementary School,189
Kirwin Fire Station,163
Kismet Pavilion,390
Kloppenberg Center,762
Knights of Columbus Hall,1489
Knights Of Columbus Hall,204
Knox Presbyterian Church,3242
KS NE Conf of 7th Day Adv,665
KU Edwards Campus,2420
La Cygne Community Building,1274
LaCrosse City Auditorium,1216
Lake Quivira City Hall,914
Lake SN Reynolds Lodge,1524
Lake SN Shelter 3,834
Lancaster City Hall,634
Lane County 4h Building (all),968
Langdon City Hall,148
Lansing Community Rm.,2904
Larned Community Center,3388
Larsen Community Center,709
Leav. Baptist Church,2285
Leav. Public Library,1606
Leawood City Hall,5067
Lebanon Community Center,402
Lebo Community Building,1136
Legacy Christian Church Blue Valley,1375
Legacy Christian Church Overland Park,2334
Lenexa Baptist Church,4883
Lenexa Community Center,2593
Lenexa United Methodist Church,3267
Lenora Community Building,298
Leon Senior Center,1146
Leonardville Comm Bldg,554
Leroy Community Building,810
Lewis City Hall,432
LI/SV Assaria Lutheran Ch,791
Liberty Community Church,381
Life Church,4972
Life Spring Church,4512
Light of the World,1568
Lighthouse Baptist Church,3257
Lincoln Township Hall,800
Lincolnville Community Center,541
Lindsborg J.O. Sundstrom Conference Center,856
Lindsborg Senior Center,734
Linn City Hall,623
Linn Valley City Hall,943
Linwood Community Bldg,2339
Linwood Recreation Center,5093
Lionsgate Clubhouse,1556
Lodge At Ironwoods,4991
Logan 4-H Bldg,153
Logan City Building,456
"Logan Park Bldg.,Drum Ck Twp - USD 447",210
Logan Park Building,568
Logan Park Building Cherry Township,388
LOH Fire Station #2,1076
London Heights Baptist Church,2651
Long Island Community Center,207
Longton Senior Center,477
Lord of Life Lutheran Church,2223
Lorraine City Office,91
Louisburg United Methodist Church,4797
Lowman UMC,1489
Lucas Community Center,284
Lutheran Church All Sf Precincts,1540
Lyndon Comm Bldg,1865
Mac Steele High School Gym,4188
Machinists Building,3129
Mae Lessley Community Center,1199
Maize City Building,2479
Maize Performing Arts & Aquatic Center,2531
Manhattan Public Library,1775
Manhattan Senior Center,1618
Maple Hill Sr Center,899
Mapleton Community Bldg,455
Marquette Senior Center,593
Martin Creek Pl,852
Marysville Township Hall,1138
Masonic Lodge,993
Matt Ross Community Center,1516
Mayfield Community Center,207
Mc Louth Fire Station,1329
McCracken Community Building,312
McCune Community Center,574
McDonald Schoolhouse,331
Mcfarland Senior Citizens Cent,265
Meade City Building,1457
Medora Community Bible Church,1297
Melvern Comm Bldg,1283
Memorial Auditorium Pittsburg,1510
Memorial Hall,3003
Memorial Hall - Drum Ck - USD 446,185
Memorial Hall 1st of 1st,341
Memorial Hall 1st Pct 5th Ward,421
Memorial Hall 1st Pct 6th Ward,944
Memorial Hall 2nd Pct 1st Ward,500
Memorial Hall 2nd Pct 5th Ward,541
Memorial Hall 2nd Pct 6th Ward,835
Mennonite Friendship Manor,481
Mercy Hill Church,4748
Meridian Baptist Church,2521
Merriam Christian Church,1944
Merriam City Hall,2260
Merriam Community Center,2367
Messiah Lutheran Church,3013
Methodist Church Annex,284
Metropolitan Comm Ch,863
Milford City Building,1327
Miltonvale Comm. Center,421
Mission Hill Ch,1127
