precinct_text_designation,Count
A8ROZ,773
A9,374
A900,48
A900A,86
A91,395
A9102,41
A92,197
A93,382
A95,473
A9C,67
A9N,39
A9RRC,1665
AB00072,53
AB00102,40
AC00073,283
AD,122
AD3,10
AD9,138
AF,1197
AG,114
AL,23
AL00001,612
AL00033,138
AR,96
AS001,44
AS60002,77
AT,237
AT00034,76
AT01,24
AT02,112
AT03,782
AT05,307
AT06,107
AT07,7
AT08,97
AT12,64
AT13,4
AT15,10
AT16,2
AT22,151
AU0AU,17
AV00001,287
AV400,47
AV80001,37
B00003,81
B001,1144
B002,1
B005,7
B006,2
B008,5
B009,3
B1,804
B100,325
B100015,37
B1000B1,444
B100A,28
B1502,61
B1RRU,600
B2,727
B200,128
B2000B2,207
B2203,13
B280016,32
B2RSA,665
B3,876
B300,364
B300010,26
B3000B3,73
B300A,192
B300B,263
B3103,31
B3RUN,638
B4,538
B400,59
B4000B4,297
B4204,19
B4E,99
B4RSA,154
B5,339
B500,125
B5000B5,106
B5803,53
B5N,87
B5RUN,44
B6,296
B600,240
B6000B6,60
B6302,68
B700,133
B7104,38
B800,93
B800A,25
B8303,48
B900,612
B9804,17
BA,435
BA00802,61
BA01,2262
BA02,1815
BA0201,52
BA03,2994
BA04,4
BA101,38
BA20000,174
BAA,91
Banner,106
BC,384
BE,48
BE00035,45
BE0201,473
BE0401,34
BE202,221
BE502,188
BE90001,157
BEA,283
BFM,64
BG01NO,517
BG02SO,122
BG70002,32
BH40002,24
BHT,85
BL,42
BL00005,89
BL0401,95
BL0601,33
BL301,53
BL4,29
BLA0001,64
BM00001,171
BNT,61
BO5,26
BOA0000,116
BRW000,199
BS01-01,1236
BS02-01,1067
BS03-01,1299
BS04-01,1628
BT00402,39
BU,139
BU00074,928
BU0601,76
BUB,302
BUB1,37
BW002,77
C00004,113
C001,2295
C002,11
C003,1408
C004,1312
C006,2312
C007,34
C008,745
C009,2275
C010,1408
C013,1443
C014,1029
C017,3
C019,411
C020,833
C022,119
C023,2
C1,555
C100,21
C100009,42
C1603,50
C1W,5
C200,126
C2304,27
C2a,1728
C2b,561
C2E,2
C300,176
C3305,40
C3a,507
C3b,386
C4,412
C400,145
C4604,20
C4a,277
C5,61
C500,65
C5205,46
C5a,75
C5b,115
C600,223
C6503,43
C700,141
C7105,29
C8,415
C800,278
C900,84
CA,131
CA00036,238
CA003,47
CA20002,38
CA700,58
CAB,115
CAN,145
CAN (A),305
CAN (B),5
CC,213
CC10002,60
CC20003,17
CCC,78
CD,759
CD000,135
CD00006,210
CD0801,62
CE,433
CE00002,360
CE00037,175
CE00702,60
CE0801,65
CE1003,50
CE1004,83
CE800,52
CE90002,506
CEA0003,21
CEC01,286
CED,135
CEN,404
Center,36
Center2,256
CG1,436
CG2,386
CG3,645
CH,744
CH000,104
CH1001,36
CH13,487
CH2,1
CH9,148
CHG,49
CL,94
CL000,83
CL004,80
CL201,70
CN000,343
CN00038,757
CNC,409
CNENCL,3
CNT,142
CO,226
CO005,37
CO102,145
CO1201,214
CO302,43
COD0001,12
COI,44
CP1401,17
CP1W2,629
CP1W3,1306
CP1W3EX,1
CP1W4,746
CP2W2,669
CP2W3,553
CP2W4,493
CP2W4A,8
CP2W4B,1
CP3W3,201
CP3W3EX,4
CP3W3H7,931
CP3W4,48
CP3W4EC,5
CP3W4H7,444
CS102-1,136
CSH102,6
CSH104,471
CSH114,212
CST,51
CT000NO,375
CT000SO,398
CT10009,66
CU,529
CU1401,80
CU40003,38
CV401,8
CVD,108
CW1,214
CX000,290
D00005,56
D100,93
D100017,28
D101,1429
D102,1163
D103,755
D104,1454
D105,1155
D106,1813
D108,2133
D109,1287
D111,1128
D113,941
D114,1047
D115,613
D116,1640
D117,529
D118,1598
D119,639
D120,363
D121,1611
D122,2455
D125,377
D126,11
D127,548
D128,2
D200,131
D200010,63
D201,697
D202,1119
D203,1042
D204,621
D205,2002
D206,2050
D207,1916
D208,1599
D209,997
D210,2498
D211,2379
D212,1373
D213,1023
D214,973
D215,1423
D216,1073
D219,12
D221,581
D222,2383
D223,1365
D224,565
D300,88
D300A,5
D300B,1
D300D,183
D300E,17
D301,724
D302,320
D303,728
D304,1352
D305,1636
D306,858
D307,871
D308,585
D309,761
D310,1340
D311,1519
D313,1299
D315,1158
D316,1300
D317,1602
D318,1372
D319,867
D320,1004
D321,1560
D322,1123
D323,1187
D324,658
D325,1256
D401,1766
D402,1726
D403,1842
D404,1158
D405,1495
D406,1239
D407,1209
D408,1161
D409,1658
D410,1129
D411,831
D412,1980
D413,900
D414,1710
D415,168
D416,1354
D417,1310
DB11,1084
DB12,1321
DB124,442
DB13,1
DB14,1240
DB17,1
DB211,968
DB22,1661
DB23,2073
DB31,478
DB315,41
DB32,1286
DB321,1062
DB325,138
DB326,193
DB341,96
DB345,2
DB36,1006
DB37,290
DB38,14
DB41,849
DB42,1540
DB433,84
DB434,8
DB436,800
DB437,66
DB440,1360
DC,86
DC000,36
DE501,22
DET,113
DG,1326
DG00005,413
DL03,1
DL04,2
DL10,5
DO,41
DO1601,2
DO1602,19
DO1604,3
DP,71
DR,217
DR0000,322
DU1601,11
DW01-01,30
E-OG,48
E00006,170
E001,1920
E003,792
E004,3
E005,434
E008,285
E009,1078
EA,841
EB,129
EC018,452
EC019,419
EC020,544
EC025,52
ED01-01,2658
ED02-01,414
ED02-02,9
EE007,33
EE008,117
EET,442
EF000EF,63
EL,696
EL0EL,8
EMC,926
EMT,217
EN0004,102
ER,76
ES00001,314
ES9,38
EU30000,312
EU60004,12
EV6,311
EV9A,16
EV9B,1
EW006,130
EW022,43
F00007,153
F100001,78
F100014,62
F11,132
F22,160
FA,90
FAX,385
FC,125
FE0000,243
FHE,227
FI,28
FLF01,77
FMF,114
FO1801,85
FR,420
FR000,193
FR0000,263
FR40001,103
FR601,59
FRE,333
FS01,970
FS01B,15
FS01C,22
FS02,916
FS03,395
FS04,829
FS05,826
FS06,2059
FS07,1039
FT,944
FT10001,93
FU0000,115
FX,115
G00008,195
G100001,114
G100014,33
G101,515
G102,372
G200013,20
G201,356
G202,390
G300014,29
G301,492
G302,452
G401,234
G402,236
G403,171
G404,233
GA,2095
GA00003,104
GA00900,94
GA1801,6
GA1802,23
GA2001,65
GA50002,29
GAC,560
GAG,150
GC,373
GCT,122
GD,513
GE2001,23
GE30002,72
GF000GR,73
GF009,33
GG023,50
GI50002,116
GL301,60
GN01,1110
GN09,2
GN10,2
GN13,2
GO,1953
GO01,3
GO02,108
GO04,168
GO05,1715
GO11,1
GR,1020
GR00041,718
GR102,27
GR2201,70
GR60002,32
GRA,33
GRAN,284
GRE,75
GRH,771
GRT,130
GT,478
GU000,67
GV00042,40
GY01,2202
GY02,296
GY03,70
GY04,103
GY07,249
GY08,120
H1,388
H101,846
H102,1326
H103,1168
H104,1054
H105,823
H106,286
H107,1089
H11,846
H13H102,479
H13H104,326
H2,403
H201,968
H202,1514
H203,1236
H204,1285
H205,743
H206,750
H207,677
H22,911
H22H104,1089
H3,458
H301,1178
H302,1219
H303,794
H304,453
H305,2223
H306,1870
H307,228
H401,375
H402,946
H403,773
H404,1213
H405,1151
H406,1014
H407,2120
HA,18
HA00075,882
HA0024,73
HA002D,100
HA03001,46
HA11,1317
HA15,3
HA17,454
HA21,1218
HA2201,64
HA24,88
HA25,38
HA27,475
HA31,1420
HA33,111
HA35,177
HA40002,80
HA40003,58
HA402,15
HA41,1195
HA42,556
HA70002,19
HA900,51
HAI,158
HAI1,18
Harmony,66
HC00001,565
HC00002,602
HC00003,371
HC00004,1196
HC00005,860
HC00006,711
HC00007,844
HC00008,383
HC00009,1017
HC0001,1044
HC00011,1064
HC00012,701
HC00014,752
HC00015,676
HC00016,1030
HC00017,859
HC00018,478
HC00019,569
HC0002,820
HC00021,1535
HC00023,1321
HC00024,865
HC00025,899
HC00026,420
HC00027,637
HC00028,1310
HC00029,621
HC0003,464
HC00031,703
HC00032,206
HC00033,257
HC00034,130
HC00035,337
HC021,294
HCEX23,257
HCEX28,589
HCEX34,1
HCH102A,35
HD401,42
HE2401,16
HE302,71
HER1,576
HER2,616
HER4,386
HF00502,74
HI,71
HI000C,448
HLD,17
HLJ01,58
